WardID,Ward Name,Neighbours,Area,Perimeter,Electorate,Constituency,Lng,Lat,OuterLength,NeighbourID,RealLengths,CleanLengths,InitialConstituency,Unionist,Nationalist
N08000304,BALLYMACARRETT,"DUNCAIRN,SYDENHAM,CENTRAL,WOODSTOCK,CONNSWATER,BEERSBRIDGE",988304,4494,"3,687",Belfast East,-5.90758701,54.5991866,0,"N08000304,N08000308,N08000315,N08000320,N08000322,N08000353,N08000359","[0.0, 653.6569010198002, 702.5176459952692, 673.1588537086035, 233.22526564559374, 1799.2991110228222, 432.14225971306024]","0.0, 653.6569010198002, 702.5176459952692, 673.1588537086035, 233.22526564559374, 1799.2991110228222, 432.14225971306024",Belfast East,2854.569841,832
N08000308,BEERSBRIDGE,"WOODSTOCK,CONNSWATER,BLOOMFIELD,ORANGEFIELD,BALLYMACARRETT",950232,4970,"3,795",Belfast East,-5.89586961,54.59136626,0,"N08000304,N08000308,N08000313,N08000320,N08000341,N08000359","[701.7764960549893, 0.0, 1288.4583236187314, 616.0727797191802, 1409.376086790132, 954.3163472651745]","701.7764960549893, 0.0, 1288.4583236187314, 616.0727797191802, 1409.376086790132, 954.3163472651745",Belfast East,3025.908751,769
N08000310,BELMONT,"SYDENHAM,CONNSWATER,KNOCK,GARNERVILLE",1437006,5284,"3,566",Belfast East,-5.8641838,54.60540752,0,"N08000310,N08000320,N08000333,N08000329,N08000353","[0.0, 675.5540656321481, 1361.5833067732, 1496.8006475693194, 1760.3986578773934]","0.0, 675.5540656321481, 1361.5833067732, 1496.8006475693194, 1760.3986578773934",Belfast East,2784.905114,781
N08000313,BLOOMFIELD,"SANDOWN,CONNSWATER,ORANGEFIELD,BEERSBRIDGE,KNOCK",815285,4223,"3,705",Belfast East,-5.88406182,54.59386234,0,"N08000308,N08000313,N08000320,N08000333,N08000341,N08000346","[1223.6936055020421, 0.0, 1221.878710809705, 623.9740679784019, 386.33470246247333, 767.1189445326669]","1223.6936055020421, 0.0, 1221.878710809705, 623.9740679784019, 386.33470246247333, 767.1189445326669",Belfast East,2936.16352,769
N08000320,CONNSWATER,"SYDENHAM,BLOOMFIELD,BALLYMACARRETT,BEERSBRIDGE,BELMONT,KNOCK",927686,5176,"3,732",Belfast East,-5.88640387,54.59981183,0,"N08000304,N08000308,N08000310,N08000313,N08000320,N08000333,N08000353","[667.7650817917499, 569.2318549960103, 611.959993435079, 1188.7292746179437, 0.0, 492.5904071571156, 1645.7233845404057]","667.7650817917499, 569.2318549960103, 611.959993435079, 1188.7292746179437, 0.0, 492.5904071571156, 1645.7233845404057",Belfast East,2938.926419,793
N08000333,KNOCK,"SANDOWN,STORMONT,CONNSWATER,BLOOMFIELD,BELMONT,SHANDON,GARNERVILLE",1297551,4946,"3,704",Belfast East,-5.86272746,54.59568435,0.001272729,"N08000310,N08000313,N08000320,N08000333,N08000329,N08000351,N08000347,N08000346,out","[1251.8831797557834, 616.138104100689, 499.9684699006044, 0.0, 10.85693917121478, 1058.252285086049, 0.0, 1412.6726348300176, 96.22841828057422]","1251.8831797557834, 616.138104100689, 499.9684699006044, 0.0, 10.85693917121478, 1058.252285086049, 0.0, 1412.6726348300176, 96.22841828057422",Belfast East,2957.592483,746
N08000338,MEROK,"SANDOWN,CREGAGH,ORANGEFIELD,RAVENHILL,HILLFOOT",1419553,5660,"3,119",Belfast East,-5.8851426,54.57723445,0.001844595,"N08000321,N08000338,N08000341,N08000331,N08000344,N08000346,out","[814.222217684783, 0.0, 1892.1671339100853, 2110.7559523593764, 386.32843835133497, 309.7526875250178, 146.77360500007677]","814.222217684783, 0.0, 1892.1671339100853, 2110.7559523593764, 386.32843835133497, 309.7526875250178, 146.77360500007677",Belfast East,2482.989226,636
N08000341,ORANGEFIELD,"SANDOWN,WOODSTOCK,BLOOMFIELD,RAVENHILL,BEERSBRIDGE,MEROK",1255155,5819,"3,482",Belfast East,-5.88361313,54.58505415,0,"N08000308,N08000313,N08000338,N08000341,N08000344,N08000346,N08000359","[1367.359471388767, 394.6546370570406, 1860.038866487388, 0.0, 680.8191410587393, 1452.1859902528681, 63.941914692387904]","1367.359471388767, 394.6546370570406, 1860.038866487388, 0.0, 680.8191410587393, 1452.1859902528681, 63.941914692387904",Belfast East,2742.979111,739
N08001125,HOLYWOOD,"CARROWREAGH,LOUGHVIEW,STORMONT,DUNDONALD,CULTRA",4909523,12223,"3,143",Belfast East,-5.81612444,54.62986591,0.010706911,"N08001118,N08001125,N08001130,N08000351,N08000709,N08000715,out","[5147.107590759878, 0.0, 4766.5622772097895, 427.0615168700452, 84.58886351152034, 956.1433266476438, 841.5363900327167]","5147.107590759878, 0.0, 4766.5622772097895, 427.0615168700452, 84.58886351152034, 956.1433266476438, 841.5363900327167",North Down,2838.729563,304
N08001130,LOUGHVIEW,"SYDENHAM,STORMONT,HOLYWOOD,GARNERVILLE",4819453,12012,"2,892",Belfast East,-5.83786704,54.62723734,0.018185866,"N08001125,N08001130,N08000329,N08000351,N08000353,out","[4775.447693174928, 0.0, 3538.1915569305247, 1298.1611927050074, 968.1715057886186, 1432.0280509992697]","4775.447693174928, 0.0, 3538.1915569305247, 1298.1611927050074, 968.1715057886186, 1432.0280509992697",North Down,2592.290315,300
N08000716,ENLER,"CARROWREAGH,BALLYHANWOOD,GRAHAM'S BRIDGE",620704,3740,"2,206",Belfast East,-5.79249593,54.58709338,0,"N08000716,N08000702,N08000709,N08000719","[0.0, 1137.9010048903779, 1242.7488210987433, 1343.0949222118654]","0.0, 1137.9010048903779, 1242.7488210987433, 1343.0949222118654",North Down,1719.36648,487
N08000702,BALLYHANWOOD,"CARROWREAGH,SCRABO,STORMONT,ENLER,DUNDONALD,GRAHAM'S BRIDGE,MONEYREAGH,COMBER WEST,SHANDON,GILNAHIRK,HILLFOOT",11389980,18820,"2,240",Belfast East,-5.81736856,54.5716758,0,"N08001115,N08001136,N08000716,N08000702,N08000734,N08000351,N08000347,N08000330,N08000331,N08000709,N08000715,N08000719","[3051.032271914041, 102.76017169685082, 1078.010750506545, 0.0, 6616.295989860568, 539.0493143410404, 2397.792184848933, 2632.237158942613, 0.0, 1056.0401239734456, 148.80674406388403, 1288.1060744935107]","3051.032271914041, 102.76017169685082, 1078.010750506545, 0.0, 6616.295989860568, 539.0493143410404, 2397.792184848933, 2632.237158942613, 0.0, 1056.0401239734456, 148.80674406388403, 1288.1060744935107",North Down,1803.030446,437
N08000329,GARNERVILLE,"SYDENHAM,LOUGHVIEW,STORMONT,BELMONT,KNOCK",2900332,8677,"3,524",Belfast East,-5.84718917,54.61285352,0,"N08000310,N08000333,N08001130,N08000329,N08000351,N08000353","[1504.590882117324, 11.869769400531053, 3714.207569749492, 0.0, 2480.4824351358307, 924.1378427477049]","1504.590882117324, 11.869769400531053, 3714.207569749492, 0.0, 2480.4824351358307, 924.1378427477049",Belfast East,2786.915552,737
N08000351,STORMONT,"SANDOWN,LOUGHVIEW,BALLYHANWOOD,DUNDONALD,HOLYWOOD,KNOCK,SHANDON,GARNERVILLE,GILNAHIRK",5322682,11868,"3,712",Belfast East,-5.83017928,54.60087851,0.002573232,"N08000333,N08001125,N08001130,N08000702,N08000329,N08000351,N08000347,N08000330,N08000346,N08000715,out","[1084.2143692796756, 420.8963452856655, 1277.0400503448366, 532.1044029944918, 2324.487540588373, 0.0, 994.4352111973693, 1523.6280418879505, 0.0, 3511.8641721269096, 199.32983812561017]","1084.2143692796756, 420.8963452856655, 1277.0400503448366, 532.1044029944918, 2324.487540588373, 0.0, 994.4352111973693, 1523.6280418879505, 0.0, 3511.8641721269096, 199.32983812561017",Belfast East,2963.523975,748
N08000347,SHANDON,"SANDOWN,STORMONT,BALLYHANWOOD,MONEYREAGH,KNOCK,GILNAHIRK,HILLFOOT",2612891,8668,"3,800",Belfast East,-5.85484429,54.57957284,0,"N08000333,N08000702,N08000734,N08000351,N08000347,N08000330,N08000331,N08000346","[0.0, 2476.0601231583637, 0.0, 1040.2980500521912, 0.0, 2287.2730126957904, 1605.6105045891454, 1263.885232346055]","0.0, 2476.0601231583637, 0.0, 1040.2980500521912, 0.0, 2287.2730126957904, 1605.6105045891454, 1263.885232346055",Belfast East,2996.983209,803
N08000330,GILNAHIRK,"STORMONT,BALLYHANWOOD,SHANDON",1805919,6319,"3,605",Belfast East,-5.8352108,54.58481087,0,"N08000702,N08000351,N08000347,N08000330","[2602.6952445133566, 1526.19106031575, 2190.113706200961, 0.0]","2602.6952445133566, 1526.19106031575, 2190.113706200961, 0.0",Belfast East,2823.849826,781
N08000350,STEWARTSTOWN,"POLEGLASS,COLLIN GLEN,LADYBROOK,SHAW'S ROAD,ANDERSONSTOWN",993962,6277,"3,578",Belfast West,-6.00939728,54.57014464,0,"N08000301,N08000319,N08000334,N08000343,N08000350,N08000349","[508.39934355257907, 1592.912550918963, 1716.8120664915618, 1607.6731578107724, 0.0, 815.8915611134087]","508.39934355257907, 1592.912550918963, 1716.8120664915618, 1607.6731578107724, 0.0, 815.8915611134087",North Tyrone,699.0806545,"2,879"
N08000331,HILLFOOT,"SANDOWN,BALLYHANWOOD,MONEYREAGH,CREGAGH,GALWALLY,MEROK,SHANDON",2620541,7981,"3,631",Belfast East,-5.88102956,54.56968635,0.001837072,"N08000321,N08000338,N08000702,N08000734,N08000347,N08000331,N08000346,N08000717,out","[927.8667204804555, 2020.8895531583098, 0.0, 1797.8637456959484, 1509.443844137762, 0.0, 47.780918879852194, 1537.2036625965752, 139.95155278508986]","927.8667204804555, 2020.8895531583098, 0.0, 1797.8637456959484, 1509.443844137762, 0.0, 47.780918879852194, 1537.2036625965752, 139.95155278508986",Belfast East,2224.784813,"1,406"
N08000346,SANDOWN,"STORMONT,BLOOMFIELD,ORANGEFIELD,MEROK,KNOCK,SHANDON,HILLFOOT",938064,5257,"3,255",Belfast East,-5.86784208,54.58815336,0,"N08000313,N08000333,N08000338,N08000341,N08000351,N08000347,N08000331,N08000346","[782.3256138699745, 1458.9985055838536, 303.98276390392874, 1449.7515925774119, 0.0, 1217.9058576951436, 48.976056981196955, 0.0]","782.3256138699745, 1458.9985055838536, 303.98276390392874, 1449.7515925774119, 0.0, 1217.9058576951436, 48.976056981196955, 0.0",Belfast East,2608.892602,646
